id,text_raw,text_clean
2155,"Marreta seguraa esse tronco pra tras quando ele te puxar e levantar ,na trocação ele perde nas pernada no joelho dele e rins figafo e pulmão  ele vai te jogar no chão com certeza so treina todas as possibilidade que ele pode fazer com vc vc ganha,Marreta tem como vc ganhar joga uma golpe bom o army dopi leva uma pedra de cracker e um cachimbo  na boca e cospe quando ele te enforcar depois da banda e vc cair no chào ele vai se distrair e vc ganha so assim kkk",marreta seguraa esse tronco pra tras quando ele te puxar e levantar  na trocação ele perde nas pernada no joelho dele e rins figafo e pulmão  ele vai te jogar no chão com certeza so treina todas as possibilidade que ele pode fazer com vc vc ganha marreta tem como vc ganhar joga uma golpe bom o army dopi leva uma pedra de cracker e um cachimbo  na boca e cospe quando ele te enforcar depois da banda e vc cair no chào ele vai se distrair e vc ganha so assim kkk
2156,Just autistic questions omg...God was drunk when he did midest,just autistic questions omg god was drunk when he did midest
2157,There are a lot of fighters that arent down when it comes to a street fight and nate is definitely not 1 of them he will fight 10 dudes if he had to,there are a lot of fighters that arent down when it comes to a street fight and nate is definitely not 1 of them he will fight 10 dudes if he had to
2158,Dana did it to himself,dana did it to himself
2159,What a great coach he’s not trying to force him to fight just trying to inspire him and make sure he is completely done before it’s to late,what a great coach he s not trying to force him to fight just trying to inspire him and make sure he is completely done before it s to late
2160,i love bones spining back hand!,i love bones spining back hand
2161,This guy is real.  Love to Rumble.,this guy is real   love to rumble
2162,"Chael wins by loss, Artem Lobovs school",chael wins by loss  artem lobovs school
2163,Anthony Smith is the biggest loser in the UFC. God I can’t stand the guy he’s such a fucking hater too. I don’t know how he has a UFC contract still.,anthony smith is the biggest loser in the ufc  god i can t stand the guy he s such a fucking hater too  i don t know how he has a ufc contract still
2164,They must not know that if it got ugly jones was gonna help Nate,they must not know that if it got ugly jones was gonna help nate
2165,Why you got this picture of anthony smith like he is so cool,why you got this picture of anthony smith like he is so cool
2166,Pulled a Rodman and 🔐 everyone,pulled a rodman and 🔐 everyone
2167,"Khabib end of story 
Greatest all time is Fedor","khabib end of story 
greatest all time is fedor"
2168,Dana clearly said he would make it up to Tom ya douche bag,dana clearly said he would make it up to tom ya douche bag
2169,""" I said I love you "" 💔💔",i said i love you   💔💔
2170,"Don’t feel too sad y’all buddy still fights his name is Max Rohskopf , he just knew he lost this fight that’s why he called it",don t feel too sad y all buddy still fights his name is max rohskopf   he just knew he lost this fight that s why he called it
2171,I agree with jon. Spitting is a big no-no to me as well...hospital visit right after.,i agree with jon  spitting is a big no no to me as well hospital visit right after
2172,Cmon Mr.Jones?????? Vale Tudo???????,cmon mr jones  vale tudo
2173,Still could nock out conor lol,still could nock out conor lol
2174,Jon loses that fight 9 times out of 10,jon loses that fight 9 times out of 10
2175,Respect 💯,respect 💯
2176,Tribute video to Jon Jones doesn’t look likely 😂,tribute video to jon jones doesn t look likely 😂
2177,"This made me cross on the night, too. Any coach who cares should know that if a fighter is that broken mentally, he had no business in there. He should have listened to his student",this made me cross on the night  too  any coach who cares should know that if a fighter is that broken mentally  he had no business in there  he should have listened to his student
2178,He’s ducking Tom now tho,he s ducking tom now tho
2179,"Anyone else think Aspinall vs Pereira is a good shout? Apparently Alex is in camp and posted a photo of his scales at 243lbs, they could be rewarding Tom with another “super fight” since he waited for Jones for so long",anyone else think aspinall vs pereira is a good shout  apparently alex is in camp and posted a photo of his scales at 243lbs  they could be rewarding tom with another  super fight  since he waited for jones for so long
2180,These new guys don’t even make much money in the ufc anyway what good is a 10k paycheck for life in a wheelchair,these new guys don t even make much money in the ufc anyway what good is a 10k paycheck for life in a wheelchair
2181,Jon will either coward out or get knocked out which he deserves so bad..,jon will either coward out or get knocked out which he deserves so bad
2182,Dude said his hairline looks like the Batman logo LMFAO 😂,dude said his hairline looks like the batman logo lmfao 😂
2183,Jones is just pathetic. Ran from Ngannou and now running from Aspinal,jones is just pathetic  ran from ngannou and now running from aspinal
2184,Hard to beat top tier talent aka genetic freaks short term. Overtime hard work will win out.,hard to beat top tier talent aka genetic freaks short term  overtime hard work will win out
2185,so Jon jones needs to come out of retirement and fight Tom Aspinal to fight the most established heavy weight in the world then 😅😂,so jon jones needs to come out of retirement and fight tom aspinal to fight the most established heavy weight in the world then 😅😂
2186,Memes aside this was such a dumb fight,memes aside this was such a dumb fight
2187,He’s going to fight Tom. He’s making all the Bitter Bettys hate on him so they tune in to fight. He’s marketing.,he s going to fight tom  he s making all the bitter bettys hate on him so they tune in to fight  he s marketing
2188,Good doc but the part about his traffic violations is too far lmao,good doc but the part about his traffic violations is too far lmao
